#    L    TT             EE             BB             TE          
     2   0.102645E+04   0.315548E-01   0.170907E-05   0.264169E+01
     3   0.970170E+03   0.409524E-01   0.341896E-05   0.298021E+01
     4   0.917070E+03   0.363182E-01   0.570006E-05   0.281551E+01
     5   0.877267E+03   0.250872E-01   0.855342E-05   0.241786E+01
     6   0.849928E+03   0.145776E-01   0.119803E-04   0.196627E+01
     7   0.832319E+03   0.795658E-02   0.159821E-04   0.155905E+01
     8   0.821396E+03   0.487983E-02   0.205604E-04   0.124023E+01
     9   0.816644E+03   0.371922E-02   0.257170E-04   0.102164E+01
    10   0.815292E+03   0.318314E-02   0.314535E-04   0.893136E+00
    11   0.816653E+03   0.275353E-02   0.377719E-04   0.838467E+00
    12   0.821225E+03   0.241074E-02   0.446739E-04   0.837588E+00
    13   0.827547E+03   0.224381E-02   0.521614E-04   0.870203E+00
    14   0.834858E+03   0.226950E-02   0.602361E-04   0.920578E+00
    15   0.843297E+03   0.244351E-02   0.688997E-04   0.978794E+00
    16   0.853078E+03   0.272662E-02   0.781538E-04   0.104012E+01
    17   0.864070E+03   0.311433E-02   0.879998E-04   0.110229E+01
    18   0.875312E+03   0.362595E-02   0.984392E-04   0.116414E+01
    19   0.888048E+03   0.428269E-02   0.109473E-03   0.122944E+01
    20   0.900920E+03   0.508772E-02   0.121103E-03   0.129670E+01
    21   0.914236E+03   0.603738E-02   0.133329E-03   0.136701E+01
    22   0.927978E+03   0.712705E-02   0.146153E-03   0.143841E+01
    23   0.942079E+03   0.835700E-02   0.159575E-03   0.150947E+01
    24   0.956557E+03   0.972963E-02   0.173597E-03   0.157880E+01
    25   0.971394E+03   0.112502E-01   0.188218E-03   0.164433E+01
    26   0.986504E+03   0.129231E-01   0.203441E-03   0.170564E+01
    27   0.100196E+04   0.147544E-01   0.219264E-03   0.176004E+01
    28   0.101770E+04   0.167541E-01   0.235690E-03   0.180663E+01
    29   0.103374E+04   0.189333E-01   0.252719E-03   0.184596E+01
    30   0.105007E+04   0.213008E-01   0.270351E-03   0.187808E+01
    31   0.106651E+04   0.238648E-01   0.288588E-03   0.190326E+01
    32   0.108321E+04   0.266341E-01   0.307430E-03   0.192129E+01
    33   0.110017E+04   0.296132E-01   0.326879E-03   0.193135E+01
    34   0.111734E+04   0.328114E-01   0.346936E-03   0.193230E+01
    35   0.113474E+04   0.362393E-01   0.367601E-03   0.192440E+01
    36   0.115231E+04   0.399010E-01   0.388876E-03   0.190790E+01
    37   0.117002E+04   0.438020E-01   0.410762E-03   0.188238E+01
    38   0.118795E+04   0.479513E-01   0.433261E-03   0.184750E+01
    39   0.120615E+04   0.523480E-01   0.456372E-03   0.180308E+01
    40   0.122457E+04   0.569836E-01   0.480097E-03   0.174838E+01
    41   0.124319E+04   0.618621E-01   0.504438E-03   0.168151E+01
    42   0.126189E+04   0.670047E-01   0.529394E-03   0.160172E+01
    43   0.128060E+04   0.724283E-01   0.554967E-03   0.151042E+01
    44   0.129954E+04   0.781399E-01   0.581157E-03   0.140671E+01
    45   0.131878E+04   0.841433E-01   0.607964E-03   0.129003E+01
    46   0.133826E+04   0.904442E-01   0.635388E-03   0.116158E+01
    47   0.135791E+04   0.970452E-01   0.663429E-03   0.102301E+01
    48   0.137765E+04   0.103937E+00   0.692086E-03   0.876074E+00
    49   0.139748E+04   0.111096E+00   0.721360E-03   0.721208E+00
    50   0.141770E+04   0.118494E+00   0.751248E-03   0.553584E+00
    51   0.143825E+04   0.126132E+00   0.781751E-03   0.370054E+00
    52   0.145894E+04   0.134041E+00   0.812867E-03   0.169490E+00
    53   0.147966E+04   0.142268E+00   0.844594E-03  -0.481369E-01
    54   0.150044E+04   0.150845E+00   0.876932E-03  -0.279771E+00
    55   0.152135E+04   0.159766E+00   0.909879E-03  -0.522943E+00
    56   0.154257E+04   0.168999E+00   0.943434E-03  -0.777841E+00
    57   0.156414E+04   0.178514E+00   0.977594E-03  -0.104535E+01
    58   0.158598E+04   0.188301E+00   0.101236E-02  -0.132561E+01
    59   0.160798E+04   0.198360E+00   0.104773E-02  -0.161860E+01
    60   0.163006E+04   0.208692E+00   0.108370E-02  -0.192326E+01
    61   0.165225E+04   0.219289E+00   0.112028E-02  -0.223908E+01
    62   0.167472E+04   0.230141E+00   0.115745E-02  -0.256871E+01
    63   0.169757E+04   0.241251E+00   0.119523E-02  -0.291366E+01
    64   0.172073E+04   0.252626E+00   0.123361E-02  -0.327404E+01
    65   0.174420E+04   0.264283E+00   0.127259E-02  -0.365031E+01
    66   0.176739E+04   0.276219E+00   0.131217E-02  -0.403700E+01
    67   0.179064E+04   0.288430E+00   0.135235E-02  -0.443479E+01
    68   0.181433E+04   0.300909E+00   0.139314E-02  -0.484646E+01
    69   0.183852E+04   0.313639E+00   0.143452E-02  -0.527223E+01
    70   0.186303E+04   0.326601E+00   0.147652E-02  -0.570956E+01
    71   0.188770E+04   0.339772E+00   0.151912E-02  -0.615716E+01
    72   0.191241E+04   0.353138E+00   0.156233E-02  -0.661513E+01
    73   0.193723E+04   0.366692E+00   0.160614E-02  -0.708322E+01
    74   0.196217E+04   0.380434E+00   0.165057E-02  -0.756167E+01
    75   0.198785E+04   0.394362E+00   0.169561E-02  -0.805745E+01
    76   0.201377E+04   0.408484E+00   0.174126E-02  -0.856509E+01
    77   0.203990E+04   0.422793E+00   0.178753E-02  -0.908364E+01
    78   0.206610E+04   0.437272E+00   0.183442E-02  -0.961150E+01
    79   0.209229E+04   0.451904E+00   0.188192E-02  -0.101468E+02
    80   0.211871E+04   0.466672E+00   0.193004E-02  -0.106908E+02
    81   0.214559E+04   0.481568E+00   0.197879E-02  -0.112461E+02
    82   0.217290E+04   0.496583E+00   0.202815E-02  -0.118128E+02
    83   0.220047E+04   0.511705E+00   0.207814E-02  -0.123887E+02
    84   0.222837E+04   0.526936E+00   0.212875E-02  -0.129743E+02
    85   0.225573E+04   0.542218E+00   0.217999E-02  -0.135604E+02
    86   0.228344E+04   0.557555E+00   0.223185E-02  -0.141544E+02
    87   0.231181E+04   0.572947E+00   0.228434E-02  -0.147594E+02
    88   0.234061E+04   0.588390E+00   0.233746E-02  -0.153738E+02
    89   0.236963E+04   0.603873E+00   0.239121E-02  -0.159946E+02
    90   0.239879E+04   0.619376E+00   0.244558E-02  -0.166205E+02
    91   0.242798E+04   0.634878E+00   0.250060E-02  -0.172502E+02
    92   0.245723E+04   0.650360E+00   0.255625E-02  -0.178836E+02
    93   0.248677E+04   0.665809E+00   0.261253E-02  -0.185221E+02
    94   0.251676E+04   0.681220E+00   0.266946E-02  -0.191671E+02
