#    L    TT             EE             BB             TE          
     2   0.152011E+04   0.397996E-01   0.151204E-01   0.325391E+01
     3   0.136710E+04   0.493443E-01   0.149611E-01   0.302971E+01
     4   0.129172E+04   0.436862E-01   0.126994E-01   0.269873E+01
     5   0.124477E+04   0.307681E-01   0.972162E-02   0.225500E+01
     6   0.121571E+04   0.186659E-01   0.698930E-02   0.180038E+01
     7   0.119891E+04   0.109614E-01   0.496213E-02   0.140258E+01
     8   0.118988E+04   0.739469E-02   0.372972E-02   0.108930E+01
     9   0.118748E+04   0.622516E-02   0.318493E-02   0.871699E+00
    10   0.118862E+04   0.600497E-02   0.314547E-02   0.735130E+00
    11   0.119236E+04   0.607510E-02   0.344300E-02   0.668454E+00
    12   0.119889E+04   0.633798E-02   0.394719E-02   0.649148E+00
    13   0.120683E+04   0.683608E-02   0.457214E-02   0.663143E+00
    14   0.121553E+04   0.757953E-02   0.527156E-02   0.686947E+00
    15   0.122527E+04   0.851359E-02   0.602030E-02   0.716910E+00
    16   0.123619E+04   0.960394E-02   0.680792E-02   0.743361E+00
    17   0.124800E+04   0.108273E-01   0.763108E-02   0.774529E+00
    18   0.125970E+04   0.122196E-01   0.848610E-02   0.798740E+00
    19   0.127270E+04   0.137918E-01   0.937231E-02   0.824267E+00
    20   0.128549E+04   0.155474E-01   0.102877E-01   0.848881E+00
    21   0.129848E+04   0.174794E-01   0.112289E-01   0.875404E+00
    22   0.131167E+04   0.195818E-01   0.121967E-01   0.901179E+00
    23   0.132502E+04   0.218564E-01   0.131889E-01   0.924332E+00
    24   0.133854E+04   0.243039E-01   0.142043E-01   0.943866E+00
    25   0.135224E+04   0.269295E-01   0.152413E-01   0.957298E+00
    26   0.136602E+04   0.297380E-01   0.162972E-01   0.964205E+00
    27   0.137998E+04   0.327259E-01   0.173732E-01   0.964547E+00
    28   0.139406E+04   0.359095E-01   0.184665E-01   0.955594E+00
    29   0.140828E+04   0.392977E-01   0.195774E-01   0.938123E+00
    30   0.142264E+04   0.428986E-01   0.207037E-01   0.912282E+00
    31   0.143695E+04   0.467277E-01   0.218406E-01   0.876896E+00
    32   0.145139E+04   0.507769E-01   0.229909E-01   0.835355E+00
    33   0.146595E+04   0.550532E-01   0.241523E-01   0.786144E+00
    34   0.148060E+04   0.595713E-01   0.253229E-01   0.726894E+00
    35   0.149535E+04   0.643389E-01   0.265021E-01   0.658110E+00
    36   0.151014E+04   0.693666E-01   0.276861E-01   0.578864E+00
    37   0.152495E+04   0.746496E-01   0.288733E-01   0.490809E+00
    38   0.153987E+04   0.801846E-01   0.300644E-01   0.395334E+00
    39   0.155495E+04   0.859783E-01   0.312576E-01   0.290862E+00
    40   0.157016E+04   0.920277E-01   0.324517E-01   0.175573E+00
    41   0.158547E+04   0.983371E-01   0.336450E-01   0.473331E-01
    42   0.160076E+04   0.104933E+00   0.348325E-01  -0.949296E-01
    43   0.161595E+04   0.111805E+00   0.360137E-01  -0.245997E+00
    44   0.163130E+04   0.118953E+00   0.371909E-01  -0.406626E+00
    45   0.164687E+04   0.126405E+00   0.383621E-01  -0.580249E+00
    46   0.166259E+04   0.134168E+00   0.395252E-01  -0.766150E+00
    47   0.167841E+04   0.142246E+00   0.406770E-01  -0.962465E+00
    48   0.169424E+04   0.150621E+00   0.418143E-01  -0.116636E+01
    49   0.171011E+04   0.159241E+00   0.429380E-01  -0.137469E+01
    50   0.172630E+04   0.168080E+00   0.440517E-01  -0.159277E+01
    51   0.174275E+04   0.177177E+00   0.451513E-01  -0.182745E+01
    52   0.175929E+04   0.186551E+00   0.462340E-01  -0.207866E+01
    53   0.177581E+04   0.196244E+00   0.472978E-01  -0.234599E+01
    54   0.179234E+04   0.206279E+00   0.483410E-01  -0.262551E+01
    55   0.180896E+04   0.216634E+00   0.493642E-01  -0.291349E+01
    56   0.182584E+04   0.227283E+00   0.503692E-01  -0.321094E+01
    57   0.184305E+04   0.238214E+00   0.513546E-01  -0.352002E+01
    58   0.186047E+04   0.249416E+00   0.523176E-01  -0.384089E+01
    59   0.187803E+04   0.260888E+00   0.532560E-01  -0.417349E+01
    60   0.189565E+04   0.272628E+00   0.541682E-01  -0.451638E+01
    61   0.191336E+04   0.284597E+00   0.550548E-01  -0.486686E+01
    62   0.193132E+04   0.296785E+00   0.559175E-01  -0.522778E+01
    63   0.194965E+04   0.309220E+00   0.567570E-01  -0.560261E+01
    64   0.196826E+04   0.321920E+00   0.575702E-01  -0.599197E+01
    65   0.198719E+04   0.334910E+00   0.583561E-01  -0.639687E+01
    66   0.200583E+04   0.348166E+00   0.591054E-01  -0.681044E+01
    67   0.202452E+04   0.361625E+00   0.598268E-01  -0.722993E+01
    68   0.204365E+04   0.375307E+00   0.605241E-01  -0.766010E+01
    69   0.206329E+04   0.389247E+00   0.611950E-01  -0.810396E+01
    70   0.208324E+04   0.403417E+00   0.618361E-01  -0.855851E+01
    71   0.210338E+04   0.417777E+00   0.624446E-01  -0.902147E+01
    72   0.212355E+04   0.432308E+00   0.630186E-01  -0.949268E+01
    73   0.214385E+04   0.446980E+00   0.635613E-01  -0.997089E+01
    74   0.216429E+04   0.461770E+00   0.640732E-01  -0.104554E+02
    75   0.218550E+04   0.476764E+00   0.645607E-01  -0.109574E+02
    76   0.220696E+04   0.491931E+00   0.650165E-01  -0.114696E+02
    77   0.222865E+04   0.507265E+00   0.654389E-01  -0.119911E+02
    78   0.225044E+04   0.522759E+00   0.658254E-01  -0.125207E+02
    79   0.227226E+04   0.538355E+00   0.661778E-01  -0.130548E+02
    80   0.229433E+04   0.554013E+00   0.665011E-01  -0.135939E+02
    81   0.231690E+04   0.569759E+00   0.667969E-01  -0.141421E+02
    82   0.233994E+04   0.585620E+00   0.670624E-01  -0.147009E+02
