#    L    TT             EE             TE             PP             TP          
     2   0.102645E+04   0.315531E-01   0.264169E+01   0.104079E+07   0.284596E+05
     3   0.970163E+03   0.409489E-01   0.298021E+01   0.160196E+07   0.339169E+05
     4   0.917059E+03   0.363125E-01   0.281551E+01   0.210130E+07   0.364646E+05
     5   0.877249E+03   0.250787E-01   0.241786E+01   0.254284E+07   0.374532E+05
     6   0.849904E+03   0.145656E-01   0.196627E+01   0.293295E+07   0.375834E+05
     7   0.832287E+03   0.794060E-02   0.155905E+01   0.327921E+07   0.372351E+05
     8   0.821356E+03   0.485927E-02   0.124024E+01   0.358783E+07   0.366102E+05
     9   0.816593E+03   0.369350E-02   0.102165E+01   0.386419E+07   0.358051E+05
    10   0.815231E+03   0.315168E-02   0.893148E+00   0.411191E+07   0.349201E+05
    11   0.816580E+03   0.271575E-02   0.838484E+00   0.433552E+07   0.340281E+05
    12   0.821140E+03   0.236607E-02   0.837612E+00   0.453598E+07   0.331211E+05
    13   0.827449E+03   0.219164E-02   0.870235E+00   0.471800E+07   0.322419E+05
    14   0.834745E+03   0.220926E-02   0.920619E+00   0.488169E+07   0.313579E+05
    15   0.843170E+03   0.237461E-02   0.978847E+00   0.503047E+07   0.304819E+05
    16   0.852934E+03   0.264846E-02   0.104018E+01   0.516525E+07   0.296180E+05
    17   0.863910E+03   0.302633E-02   0.110237E+01   0.528639E+07   0.287689E+05
    18   0.875135E+03   0.352750E-02   0.116424E+01   0.539664E+07   0.279562E+05
    19   0.887853E+03   0.417322E-02   0.122956E+01   0.549644E+07   0.271617E+05
    20   0.900707E+03   0.496662E-02   0.129685E+01   0.558613E+07   0.263963E+05
    21   0.914003E+03   0.590405E-02   0.136718E+01   0.566695E+07   0.256610E+05
    22   0.927725E+03   0.698091E-02   0.143861E+01   0.573999E+07   0.249623E+05
    23   0.941806E+03   0.819745E-02   0.150971E+01   0.580566E+07   0.242918E+05
    24   0.956262E+03   0.955606E-02   0.157908E+01   0.586432E+07   0.236436E+05
    25   0.971077E+03   0.110620E-01   0.164465E+01   0.591681E+07   0.230215E+05
    26   0.986164E+03   0.127197E-01   0.170600E+01   0.596302E+07   0.224178E+05
    27   0.100160E+04   0.145352E-01   0.176045E+01   0.600417E+07   0.218425E+05
    28   0.101731E+04   0.165186E-01   0.180710E+01   0.604035E+07   0.212879E+05
    29   0.103333E+04   0.186809E-01   0.184649E+01   0.607175E+07   0.207494E+05
    30   0.104963E+04   0.210308E-01   0.187866E+01   0.609900E+07   0.202316E+05
    31   0.106604E+04   0.235766E-01   0.190391E+01   0.612166E+07   0.197310E+05
    32   0.108272E+04   0.263273E-01   0.192201E+01   0.614095E+07   0.192539E+05
    33   0.109965E+04   0.292871E-01   0.193214E+01   0.615680E+07   0.187953E+05
    34   0.111680E+04   0.324654E-01   0.193317E+01   0.616945E+07   0.183510E+05
    35   0.113417E+04   0.358729E-01   0.192535E+01   0.617910E+07   0.179208E+05
    36   0.115171E+04   0.395136E-01   0.190894E+01   0.618582E+07   0.175055E+05
    37   0.116939E+04   0.433931E-01   0.188350E+01   0.618974E+07   0.171051E+05
    38   0.118729E+04   0.475203E-01   0.184872E+01   0.619133E+07   0.167202E+05
    39   0.120546E+04   0.518943E-01   0.180439E+01   0.619066E+07   0.163496E+05
    40   0.122385E+04   0.565068E-01   0.174980E+01   0.618787E+07   0.159919E+05
    41   0.124244E+04   0.613616E-01   0.168303E+01   0.618310E+07   0.156481E+05
    42   0.126111E+04   0.664799E-01   0.160334E+01   0.617645E+07   0.153178E+05
    43   0.127979E+04   0.718788E-01   0.151216E+01   0.616799E+07   0.149980E+05
    44   0.129869E+04   0.775651E-01   0.140856E+01   0.615790E+07   0.146894E+05
    45   0.131791E+04   0.835428E-01   0.129199E+01   0.614608E+07   0.143888E+05
    46   0.133735E+04   0.898174E-01   0.116366E+01   0.613301E+07   0.140941E+05
    47   0.135697E+04   0.963917E-01   0.102521E+01   0.611862E+07   0.138055E+05
    48   0.137668E+04   0.103257E+00   0.878384E+00   0.610300E+07   0.135239E+05
    49   0.139648E+04   0.110388E+00   0.723634E+00   0.608626E+07   0.132504E+05
    50   0.141667E+04   0.117757E+00   0.556124E+00   0.606833E+07   0.129884E+05
    51   0.143718E+04   0.125367E+00   0.372706E+00   0.604939E+07   0.127351E+05
    52   0.145784E+04   0.133247E+00   0.172252E+00   0.602953E+07   0.124877E+05
    53   0.147853E+04   0.141445E+00  -0.452696E-01   0.600859E+07   0.122465E+05
    54   0.149927E+04   0.149992E+00  -0.276802E+00   0.598699E+07   0.120141E+05
    55   0.152015E+04   0.158883E+00  -0.519878E+00   0.596464E+07   0.117930E+05
    56   0.154134E+04   0.168086E+00  -0.774685E+00   0.594160E+07   0.115843E+05
    57   0.156288E+04   0.177571E+00  -0.104211E+01   0.591797E+07   0.113852E+05
    58   0.158468E+04   0.187326E+00  -0.132229E+01   0.589359E+07   0.111900E+05
    59   0.160665E+04   0.197354E+00  -0.161522E+01   0.586866E+07   0.109955E+05
    60   0.162870E+04   0.207655E+00  -0.191982E+01   0.584322E+07   0.108005E+05
    61   0.165086E+04   0.218219E+00  -0.223560E+01   0.581730E+07   0.106068E+05
    62   0.167329E+04   0.229039E+00  -0.256519E+01   0.579078E+07   0.104182E+05
    63   0.169611E+04   0.240117E+00  -0.291012E+01   0.576398E+07   0.102375E+05
    64   0.171923E+04   0.251459E+00  -0.327049E+01   0.573681E+07   0.100640E+05
    65   0.174266E+04   0.263084E+00  -0.364677E+01   0.570944E+07   0.989792E+04
    66   0.176583E+04   0.274987E+00  -0.403348E+01   0.568157E+07   0.973314E+04
    67   0.178904E+04   0.287165E+00  -0.443132E+01   0.565342E+07   0.957160E+04
    68   0.181269E+04   0.299610E+00  -0.484305E+01   0.562501E+07   0.941602E+04
    69   0.183685E+04   0.312308E+00  -0.526890E+01   0.559639E+07   0.926676E+04
    70   0.186132E+04   0.325236E+00  -0.570632E+01   0.556756E+07   0.912252E+04
    71   0.188596E+04   0.338373E+00  -0.615404E+01   0.553855E+07   0.898249E+04
    72   0.191064E+04   0.351705E+00  -0.661216E+01   0.550924E+07   0.884569E+04
    73   0.193542E+04   0.365226E+00  -0.708041E+01   0.547991E+07   0.871218E+04
    74   0.196033E+04   0.378934E+00  -0.755904E+01   0.545063E+07   0.858126E+04
    75   0.198598E+04   0.392828E+00  -0.805504E+01   0.542101E+07   0.845524E+04
    76   0.201187E+04   0.406917E+00  -0.856291E+01   0.539131E+07   0.833058E+04
    77   0.203796E+04   0.421191E+00  -0.908174E+01   0.536155E+07   0.820723E+04
    78   0.206413E+04   0.435636E+00  -0.960990E+01   0.533175E+07   0.808493E+04
    79   0.209029E+04   0.450234E+00  -0.101456E+02   0.530190E+07   0.796377E+04
    80   0.211668E+04   0.464968E+00  -0.106899E+02   0.527204E+07   0.784537E+04
    81   0.214353E+04   0.479830E+00  -0.112456E+02   0.524216E+07   0.773131E+04
    82   0.217081E+04   0.494811E+00  -0.118127E+02   0.521228E+07   0.762138E+04
    83   0.219836E+04   0.509899E+00  -0.123891E+02   0.518228E+07   0.751418E+04
    84   0.222623E+04   0.525096E+00  -0.129751E+02   0.515261E+07   0.741047E+04
    85   0.225356E+04   0.540344E+00  -0.135618E+02   0.512273E+07   0.730549E+04
    86   0.228125E+04   0.555647E+00  -0.141563E+02   0.509290E+07   0.720415E+04
    87   0.230959E+04   0.571005E+00  -0.147620E+02   0.506312E+07   0.710770E+04
    88   0.233837E+04   0.586414E+00  -0.153771E+02   0.503340E+07   0.701491E+04
    89   0.236737E+04   0.601862E+00  -0.159986E+02   0.500376E+07   0.692464E+04
    90   0.239650E+04   0.617331E+00  -0.166251E+02   0.497419E+07   0.683631E+04
    91   0.242567E+04   0.632799E+00  -0.172557E+02   0.494472E+07   0.674919E+04
    92   0.245490E+04   0.648247E+00  -0.178899E+02   0.491534E+07   0.666292E+04
    93   0.248442E+04   0.663662E+00  -0.185293E+02   0.488606E+07   0.657804E+04
    94   0.251439E+04   0.679039E+00  -0.191752E+02   0.485688E+07   0.649523E+04
    95   0.254497E+04   0.694376E+00  -0.198287E+02   0.482788E+07   0.641537E+04
    96   0.257558E+04   0.709647E+00  -0.204841E+02   0.479887E+07   0.633630E+04
    97   0.260601E+04   0.724831E+00  -0.211388E+02   0.476998E+07   0.625782E+04
    98   0.263636E+04   0.739905E+00  -0.217925E+02   0.474121E+07   0.618061E+04
    99   0.266708E+04   0.754859E+00  -0.224487E+02   0.471258E+07   0.610629E+04
   100   0.269838E+04   0.769687E+00  -0.231099E+02   0.468409E+07   0.603484E+04
