#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.102645E+04   0.264169E+01   0.305309E-02   0.264169E+01   0.315531E-01  -0.122883E-04   0.305309E-02  -0.122883E-04   0.501736E-07
     3   0.970163E+03   0.298021E+01   0.304928E-02   0.298021E+01   0.409489E-01  -0.132276E-04   0.304928E-02  -0.132276E-04   0.610178E-07
     4   0.917059E+03   0.281551E+01   0.297585E-02   0.281551E+01   0.363125E-01  -0.113329E-04   0.297585E-02  -0.113329E-04   0.703454E-07
     5   0.877249E+03   0.241786E+01   0.287498E-02   0.241786E+01   0.250787E-01  -0.796642E-05   0.287498E-02  -0.796642E-05   0.784531E-07
     6   0.849904E+03   0.196627E+01   0.276560E-02   0.196627E+01   0.145656E-01  -0.425322E-05   0.276560E-02  -0.425322E-05   0.855314E-07
     7   0.832287E+03   0.155905E+01   0.265653E-02   0.155905E+01   0.794060E-02  -0.102732E-05   0.265653E-02  -0.102732E-05   0.917658E-07
     8   0.821356E+03   0.124024E+01   0.255097E-02   0.124024E+01   0.485927E-02   0.122721E-05   0.255097E-02   0.122721E-05   0.972893E-07
     9   0.816593E+03   0.102165E+01   0.244881E-02   0.102165E+01   0.369350E-02   0.236658E-05   0.244881E-02   0.236658E-05   0.102212E-06
    10   0.815231E+03   0.893148E+00   0.235254E-02   0.893148E+00   0.315168E-02   0.251808E-05   0.235254E-02   0.251808E-05   0.106600E-06
    11   0.816580E+03   0.838484E+00   0.226409E-02   0.838484E+00   0.271575E-02   0.197356E-05   0.226409E-02   0.197356E-05   0.110547E-06
    12   0.821140E+03   0.837612E+00   0.218083E-02   0.837612E+00   0.236607E-02   0.107847E-05   0.218083E-02   0.107847E-05   0.114057E-06
    13   0.827449E+03   0.870235E+00   0.210412E-02   0.870235E+00   0.219164E-02   0.155478E-06   0.210412E-02   0.155478E-06   0.117234E-06
    14   0.834745E+03   0.920619E+00   0.203079E-02   0.920619E+00   0.220926E-02  -0.558740E-06   0.203079E-02  -0.558740E-06   0.120067E-06
    15   0.843170E+03   0.978848E+00   0.196092E-02   0.978848E+00   0.237461E-02  -0.954289E-06   0.196092E-02  -0.954289E-06   0.122629E-06
    16   0.852934E+03   0.104018E+01   0.189419E-02   0.104018E+01   0.264846E-02  -0.104682E-05   0.189419E-02  -0.104682E-05   0.124933E-06
    17   0.863910E+03   0.110237E+01   0.183034E-02   0.110237E+01   0.302633E-02  -0.923312E-06   0.183034E-02  -0.923312E-06   0.126980E-06
    18   0.875135E+03   0.116424E+01   0.177041E-02   0.116424E+01   0.352750E-02  -0.682709E-06   0.177041E-02  -0.682709E-06   0.128829E-06
    19   0.887853E+03   0.122956E+01   0.171295E-02   0.122956E+01   0.417322E-02  -0.411283E-06   0.171295E-02  -0.411283E-06   0.130486E-06
    20   0.900707E+03   0.129685E+01   0.165845E-02   0.129685E+01   0.496662E-02  -0.187996E-06   0.165845E-02  -0.187996E-06   0.131953E-06
    21   0.914003E+03   0.136718E+01   0.160676E-02   0.136718E+01   0.590405E-02  -0.752422E-07   0.160676E-02  -0.752422E-07   0.133255E-06
    22   0.927725E+03   0.143861E+01   0.155817E-02   0.143861E+01   0.698091E-02  -0.894476E-07   0.155817E-02  -0.894476E-07   0.134415E-06
    23   0.941806E+03   0.150971E+01   0.151203E-02   0.150971E+01   0.819745E-02  -0.190978E-06   0.151203E-02  -0.190978E-06   0.135440E-06
    24   0.956262E+03   0.157908E+01   0.146785E-02   0.157908E+01   0.955606E-02  -0.317947E-06   0.146785E-02  -0.317947E-06   0.136334E-06
    25   0.971076E+03   0.164465E+01   0.142580E-02   0.164465E+01   0.110620E-01  -0.429728E-06   0.142580E-02  -0.429728E-06   0.137114E-06
    26   0.986164E+03   0.170600E+01   0.138533E-02   0.170600E+01   0.127197E-01  -0.515194E-06   0.138533E-02  -0.515194E-06   0.137776E-06
    27   0.100160E+04   0.176045E+01   0.134700E-02   0.176045E+01   0.145352E-01  -0.570169E-06   0.134700E-02  -0.570169E-06   0.138347E-06
    28   0.101731E+04   0.180710E+01   0.131029E-02   0.180710E+01   0.165186E-01  -0.582424E-06   0.131029E-02  -0.582424E-06   0.138826E-06
    29   0.103333E+04   0.184649E+01   0.127487E-02   0.184649E+01   0.186809E-01  -0.546411E-06   0.127487E-02  -0.546411E-06   0.139216E-06
    30   0.104963E+04   0.187866E+01   0.124098E-02   0.187866E+01   0.210308E-01  -0.481660E-06   0.124098E-02  -0.481660E-06   0.139530E-06
    31   0.106604E+04   0.190391E+01   0.120839E-02   0.190391E+01   0.235766E-01  -0.423162E-06   0.120839E-02  -0.423162E-06   0.139757E-06
    32   0.108272E+04   0.192201E+01   0.117744E-02   0.192201E+01   0.263273E-01  -0.392788E-06   0.117744E-02  -0.392788E-06   0.139924E-06
    33   0.109965E+04   0.193214E+01   0.114781E-02   0.193214E+01   0.292871E-01  -0.384668E-06   0.114781E-02  -0.384668E-06   0.140027E-06
    34   0.111680E+04   0.193317E+01   0.111922E-02   0.193317E+01   0.324654E-01  -0.382301E-06   0.111922E-02  -0.382301E-06   0.140072E-06
    35   0.113417E+04   0.192535E+01   0.109165E-02   0.192535E+01   0.358729E-01  -0.383000E-06   0.109165E-02  -0.383000E-06   0.140063E-06
    36   0.115171E+04   0.190894E+01   0.106512E-02   0.190894E+01   0.395136E-01  -0.398683E-06   0.106512E-02  -0.398683E-06   0.139998E-06
    37   0.116939E+04   0.188350E+01   0.103961E-02   0.188350E+01   0.433931E-01  -0.432870E-06   0.103961E-02  -0.432870E-06   0.139883E-06
    38   0.118729E+04   0.184872E+01   0.101517E-02   0.184872E+01   0.475203E-01  -0.464722E-06   0.101517E-02  -0.464722E-06   0.139725E-06
    39   0.120546E+04   0.180439E+01   0.991685E-03   0.180439E+01   0.518943E-01  -0.461963E-06   0.991685E-03  -0.461963E-06   0.139526E-06
    40   0.122385E+04   0.174980E+01   0.969077E-03   0.174980E+01   0.565068E-01  -0.411385E-06   0.969077E-03  -0.411385E-06   0.139289E-06
    41   0.124244E+04   0.168303E+01   0.947402E-03   0.168303E+01   0.613616E-01  -0.333839E-06   0.947402E-03  -0.333839E-06   0.139016E-06
    42   0.126111E+04   0.160334E+01   0.926613E-03   0.160334E+01   0.664799E-01  -0.267295E-06   0.926613E-03  -0.267295E-06   0.138709E-06
