#    L    TT             EE             BB             TE          
     2   0.493660E+03   0.824475E-02   0.151187E-01   0.612220E+00
     3   0.396933E+03   0.839193E-02   0.149577E-01   0.495017E-01
     4   0.374654E+03   0.736800E-02   0.126937E-01  -0.116786E+00
     5   0.367502E+03   0.568092E-02   0.971307E-02  -0.162866E+00
     6   0.365784E+03   0.408832E-02   0.697732E-02  -0.165889E+00
     7   0.366589E+03   0.300478E-02   0.494615E-02  -0.156464E+00
     8   0.368488E+03   0.251486E-02   0.370916E-02  -0.150930E+00
     9   0.370833E+03   0.250594E-02   0.315922E-02  -0.149944E+00
    10   0.373325E+03   0.282183E-02   0.311401E-02  -0.158007E+00
    11   0.375712E+03   0.332157E-02   0.340523E-02  -0.170014E+00
    12   0.377663E+03   0.392723E-02   0.390251E-02  -0.188440E+00
    13   0.379283E+03   0.459228E-02   0.451998E-02  -0.207060E+00
    14   0.380671E+03   0.531003E-02   0.521133E-02  -0.233631E+00
    15   0.381975E+03   0.607008E-02   0.595140E-02  -0.261885E+00
    16   0.383108E+03   0.687732E-02   0.672977E-02  -0.296755E+00
    17   0.383928E+03   0.771298E-02   0.754308E-02  -0.327761E+00
    18   0.384391E+03   0.859366E-02   0.838766E-02  -0.365397E+00
    19   0.384647E+03   0.950907E-02   0.926283E-02  -0.405170E+00
    20   0.384570E+03   0.104597E-01   0.101665E-01  -0.447817E+00
    21   0.384241E+03   0.114420E-01   0.110956E-01  -0.491603E+00
    22   0.383694E+03   0.124548E-01   0.120506E-01  -0.537226E+00
    23   0.382940E+03   0.134994E-01   0.130293E-01  -0.585135E+00
    24   0.381987E+03   0.145742E-01   0.140307E-01  -0.634939E+00
    25   0.380848E+03   0.156793E-01   0.150531E-01  -0.687034E+00
    26   0.379513E+03   0.168149E-01   0.160937E-01  -0.741430E+00
    27   0.378018E+03   0.179715E-01   0.171539E-01  -0.795494E+00
    28   0.376358E+03   0.191554E-01   0.182308E-01  -0.851037E+00
    29   0.374540E+03   0.203644E-01   0.193247E-01  -0.907841E+00
    30   0.372572E+03   0.215978E-01   0.204333E-01  -0.965798E+00
    31   0.370442E+03   0.228630E-01   0.215520E-01  -0.102637E+01
    32   0.368180E+03   0.241428E-01   0.226835E-01  -0.108594E+01
    33   0.365783E+03   0.254399E-01   0.238255E-01  -0.114521E+01
    34   0.363256E+03   0.267599E-01   0.249759E-01  -0.120541E+01
    35   0.360604E+03   0.280996E-01   0.261345E-01  -0.126629E+01
    36   0.357827E+03   0.294656E-01   0.272972E-01  -0.132904E+01
    37   0.354930E+03   0.308475E-01   0.284626E-01  -0.139157E+01
    38   0.351922E+03   0.322333E-01   0.296311E-01  -0.145216E+01
    39   0.348807E+03   0.336303E-01   0.308012E-01  -0.151222E+01
    40   0.345591E+03   0.350441E-01   0.319716E-01  -0.157281E+01
    41   0.342274E+03   0.364749E-01   0.331405E-01  -0.163417E+01
    42   0.338861E+03   0.379282E-01   0.343031E-01  -0.169665E+01
    43   0.335354E+03   0.393763E-01   0.354587E-01  -0.175642E+01
    44   0.331762E+03   0.408132E-01   0.366097E-01  -0.181334E+01
    45   0.328083E+03   0.422612E-01   0.377541E-01  -0.187028E+01
    46   0.324328E+03   0.437239E-01   0.388898E-01  -0.192773E+01
    47   0.320499E+03   0.452004E-01   0.400136E-01  -0.198548E+01
    48   0.316598E+03   0.466832E-01   0.411222E-01  -0.204244E+01
    49   0.312630E+03   0.481446E-01   0.422167E-01  -0.209590E+01
    50   0.308595E+03   0.495863E-01   0.433005E-01  -0.214635E+01
    51   0.304502E+03   0.510452E-01   0.443695E-01  -0.219750E+01
    52   0.300355E+03   0.525103E-01   0.454212E-01  -0.224815E+01
    53   0.296152E+03   0.539759E-01   0.464532E-01  -0.229785E+01
    54   0.291902E+03   0.554335E-01   0.474640E-01  -0.234574E+01
