#    L    TT             EE             BB             TE          
     2   0.152011E+04   0.397978E-01   0.151187E-01   0.325391E+01
     3   0.136710E+04   0.493409E-01   0.149577E-01   0.302971E+01
     4   0.129171E+04   0.436805E-01   0.126937E-01   0.269873E+01
     5   0.124475E+04   0.307596E-01   0.971307E-02   0.225500E+01
     6   0.121569E+04   0.186539E-01   0.697732E-02   0.180038E+01
     7   0.119888E+04   0.109454E-01   0.494615E-02   0.140258E+01
     8   0.118984E+04   0.737413E-02   0.370916E-02   0.108931E+01
     9   0.118743E+04   0.619945E-02   0.315922E-02   0.871707E+00
    10   0.118856E+04   0.597351E-02   0.311401E-02   0.735142E+00
    11   0.119229E+04   0.603732E-02   0.340523E-02   0.668471E+00
    12   0.119880E+04   0.629330E-02   0.390251E-02   0.649171E+00
    13   0.120673E+04   0.678392E-02   0.451998E-02   0.663175E+00
    14   0.121542E+04   0.751929E-02   0.521133E-02   0.686988E+00
    15   0.122514E+04   0.844469E-02   0.595140E-02   0.716963E+00
    16   0.123604E+04   0.952578E-02   0.672977E-02   0.743428E+00
    17   0.124784E+04   0.107393E-01   0.754308E-02   0.774612E+00
    18   0.125953E+04   0.121212E-01   0.838766E-02   0.798842E+00
    19   0.127250E+04   0.136823E-01   0.926283E-02   0.824391E+00
    20   0.128528E+04   0.154263E-01   0.101665E-01   0.849029E+00
    21   0.129824E+04   0.173460E-01   0.110956E-01   0.875580E+00
    22   0.131142E+04   0.194357E-01   0.120506E-01   0.901386E+00
    23   0.132475E+04   0.216969E-01   0.130293E-01   0.924573E+00
    24   0.133825E+04   0.241303E-01   0.140307E-01   0.944144E+00
    25   0.135192E+04   0.267413E-01   0.150531E-01   0.957617E+00
    26   0.136568E+04   0.295346E-01   0.160937E-01   0.964570E+00
    27   0.137961E+04   0.325068E-01   0.171539E-01   0.964960E+00
    28   0.139367E+04   0.356740E-01   0.182308E-01   0.956060E+00
    29   0.140787E+04   0.390453E-01   0.193247E-01   0.938646E+00
    30   0.142221E+04   0.426286E-01   0.204333E-01   0.912866E+00
    31   0.143648E+04   0.464396E-01   0.215520E-01   0.877544E+00
    32   0.145090E+04   0.504701E-01   0.226835E-01   0.836073E+00
    33   0.146543E+04   0.547270E-01   0.238255E-01   0.786935E+00
    34   0.148005E+04   0.592253E-01   0.249759E-01   0.727763E+00
    35   0.149478E+04   0.639725E-01   0.261345E-01   0.659061E+00
    36   0.150954E+04   0.689792E-01   0.272972E-01   0.579900E+00
    37   0.152432E+04   0.742406E-01   0.284626E-01   0.491934E+00
    38   0.153921E+04   0.797536E-01   0.296311E-01   0.396554E+00
    39   0.155426E+04   0.855246E-01   0.308012E-01   0.292179E+00
    40   0.156944E+04   0.915508E-01   0.319716E-01   0.176990E+00
    41   0.158472E+04   0.978365E-01   0.331405E-01   0.488546E-01
    42   0.159998E+04   0.104408E+00   0.343031E-01  -0.933011E-01
    43   0.161514E+04   0.111255E+00   0.354587E-01  -0.244259E+00
    44   0.163046E+04   0.118378E+00   0.366097E-01  -0.404776E+00
    45   0.164599E+04   0.125804E+00   0.377541E-01  -0.578285E+00
    46   0.166168E+04   0.133541E+00   0.388898E-01  -0.764072E+00
    47   0.167747E+04   0.141592E+00   0.400136E-01  -0.960271E+00
    48   0.169328E+04   0.149940E+00   0.411222E-01  -0.116405E+01
    49   0.170911E+04   0.158532E+00   0.422167E-01  -0.137227E+01
    50   0.172526E+04   0.167344E+00   0.433005E-01  -0.159023E+01
    51   0.174168E+04   0.176413E+00   0.443695E-01  -0.182480E+01
    52   0.175819E+04   0.185758E+00   0.454212E-01  -0.207590E+01
    53   0.177468E+04   0.195421E+00   0.464532E-01  -0.234312E+01
    54   0.179118E+04   0.205426E+00   0.474640E-01  -0.262254E+01
    55   0.180776E+04   0.215751E+00   0.484543E-01  -0.291042E+01
    56   0.182462E+04   0.226370E+00   0.494258E-01  -0.320779E+01
    57   0.184179E+04   0.237270E+00   0.503770E-01  -0.351678E+01
    58   0.185918E+04   0.248441E+00   0.513052E-01  -0.383758E+01
    59   0.187671E+04   0.259882E+00   0.522083E-01  -0.417011E+01
    60   0.189429E+04   0.271591E+00   0.530845E-01  -0.451294E+01
    61   0.191196E+04   0.283527E+00   0.539345E-01  -0.486338E+01
    62   0.192989E+04   0.295683E+00   0.547601E-01  -0.522427E+01
    63   0.194818E+04   0.308086E+00   0.555618E-01  -0.559907E+01
    64   0.196677E+04   0.320754E+00   0.563366E-01  -0.598843E+01
    65   0.198566E+04   0.333710E+00   0.570836E-01  -0.639333E+01
    66   0.200426E+04   0.346934E+00   0.577933E-01  -0.680693E+01
    67   0.202292E+04   0.360360E+00   0.584745E-01  -0.722645E+01
    68   0.204201E+04   0.374009E+00   0.591309E-01  -0.765669E+01
    69   0.206161E+04   0.387915E+00   0.597604E-01  -0.810063E+01
    70   0.208154E+04   0.402052E+00   0.603596E-01  -0.855527E+01
    71   0.210164E+04   0.416379E+00   0.609255E-01  -0.901835E+01
    72   0.212178E+04   0.430876E+00   0.614563E-01  -0.948970E+01
    73   0.214204E+04   0.445514E+00   0.619551E-01  -0.996808E+01
    74   0.216245E+04   0.460270E+00   0.624226E-01  -0.104528E+02
    75   0.218363E+04   0.475230E+00   0.628651E-01  -0.109550E+02
    76   0.220506E+04   0.490363E+00   0.632753E-01  -0.114674E+02
    77   0.222672E+04   0.505663E+00   0.636514E-01  -0.119892E+02
    78   0.224847E+04   0.521124E+00   0.639909E-01  -0.125191E+02
    79   0.227026E+04   0.536685E+00   0.642958E-01  -0.130535E+02
    80   0.229230E+04   0.552309E+00   0.645711E-01  -0.135930E+02
    81   0.231484E+04   0.568022E+00   0.648181E-01  -0.141416E+02
    82   0.233785E+04   0.583848E+00   0.650343E-01  -0.147008E+02
    83   0.236116E+04   0.599776E+00   0.652167E-01  -0.152686E+02
    84   0.238483E+04   0.615832E+00   0.653649E-01  -0.158459E+02
    85   0.240801E+04   0.631826E+00   0.654728E-01  -0.164193E+02
    86   0.243159E+04   0.647785E+00   0.655556E-01  -0.169970E+02
    87   0.245586E+04   0.663789E+00   0.656131E-01  -0.175850E+02
    88   0.248062E+04   0.679847E+00   0.656409E-01  -0.181819E+02
    89   0.250565E+04   0.695921E+00   0.656367E-01  -0.187840E+02
